Mart,Mart_Domain,Destination,Destination_Domain,Source,Source_Domain,Cron Schedule,Reload_Time,Median_Load_Time,Bottleneck_Time
cn_case,cn,cn_makt,cn,int_makt,intermediate,,,26.89,
cn_case,cn,int_makt,intermediate,sap_makt,staging,['00 05 * * *'],18000.0,43.32,18043.0
cn_case,cn,cn_case,cn,cn_viqmfe,cn,,,5.56,
cn_case,cn,cn_viqmfe,cn,int_viqmfe,intermediate,,,24.44,
cn_case,cn,int_viqmfe,intermediate,sap_viqmfe,staging,['0 1 * * *'],3600.0,83.41,3683.0
cn_case,cn,cn_case,cn,cn_zsv_model_t,cn,,,4.26,
cn_case,cn,cn_zsv_model_t,cn,int_zsv_model_t,intermediate,,,4.3,
cn_case,cn,int_zsv_model_t,intermediate,sap_zsv_model_t,staging,['00 01 * * *'],3600.0,8.77,3609.0
cn_case,cn,cn_case,cn,cn_knvp,cn,,,3.75,
cn_case,cn,cn_knvp,cn,int_knvp,intermediate,,,10.075,
cn_case,cn,int_knvp,intermediate,sap_knvp,staging,['00 03 * * *'],10800.0,621.33,11421.0
cn_case,cn,cn_case,cn,cn_t005u,cn,,,3.54,
cn_case,cn,cn_t005u,cn,int_t005u,intermediate,,,4.96,
cn_case,cn,cn_case,cn,cn_viqmel,cn,,,4.835,
cn_case,cn,cn_viqmel,cn,int_viqmel,intermediate,,,21.14,
cn_case,cn,int_viqmel,intermediate,sap_viqmel,staging,['0 1 * * *'],3600.0,33.85,3634.0
cn_case,cn,cn_case,cn,cn_zsv_zequz,cn,,,4.82,
cn_case,cn,cn_zsv_zequz,cn,int_zsv_zequz,intermediate,,,171.04,
cn_case,cn,int_zsv_zequz,intermediate,sap_zsv_zequz,staging,['05 20 * * *'],72300.0,158.8,72459.0
cn_cleaningeu,cn,cn_cleaningeu,cn,int_cleaningeu,intermediate,,,4.51,
cn_cn_insmatch,cn,cn_cn_insmatch,cn,int_cn_insmatch,intermediate,,,4.925,
cn_cn_securityitr,cn,cn_cn_securityitr,cn,int_cn_securityitr,intermediate,,,4.99,
cn_cnhr,cn,cn_cnhr,cn,int_salesrep_area_combine,intermediate,,,6.95,
cn_cnhr,cn,int_salesrep_area_combine,intermediate,sp_salesrep_area_combine,staging,['0 1 * * *'],3600.0,8.72,3609.0
cn_cnhr,cn,cn_cnhr,cn,int_vacantuser,intermediate,,,3.835,
cn_cnhr,cn,int_vacantuser,intermediate,sp_vacantuser,staging,['0 1 * * *'],3600.0,8.754999999999999,3609.0
cn_cnhr,cn,cn_cnhr,cn,int_cnhr,intermediate,,,5.46,
cn_cnhr,cn,int_cnhr,intermediate,sp_cnhr,staging,['0 1 * * *'],3600.0,8.805,3609.0
cn_commitment,cn,cn_commitment,cn,int_commitment_bloodgas,intermediate,,,4.21,
cn_commitment,cn,int_commitment_bloodgas,intermediate,sp_commitment_bloodgas,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.74,5409.0
cn_commitment,cn,cn_commitment,cn,int_commitment_autoimmune,intermediate,,,4.23,
cn_commitment,cn,int_commitment_autoimmune,intermediate,sp_commitment_autoimmune,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.585,5409.0
cn_commitment,cn,cn_commitment,cn,cn_eumapping,cn,,,4.12,
cn_commitment,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_commitment,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_commitment,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_commitment,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_commitment,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_commitment,cn,cn_commitment,cn,int_commitment_wbh,intermediate,,,4.03,
cn_commitment,cn,int_commitment_wbh,intermediate,sp_commitment_wbh,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.6,5409.0
cn_commitment,cn,cn_commitment,cn,int_commitment_hemostasis,intermediate,,,4.2,
cn_commitment,cn,int_commitment_hemostasis,intermediate,sp_commitment_hemostasis,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.709999999999999,5409.0
cn_compensation,cn,cn_compensation,cn,cn_compensation_cs,cn,,,4.29,
cn_compensation,cn,cn_compensation_cs,cn,int_compensation_cs,intermediate,,,4.405,
cn_compensation,cn,int_compensation_cs,intermediate,sp_compensation_cs,staging,['0 1 * * *'],3600.0,13.954999999999998,3614.0
cn_compensation,cn,cn_compensation,cn,cn_vbap,cn,,,31.125,
cn_compensation,cn,cn_vbap,cn,int_vbap,intermediate,,,56.54,
cn_compensation,cn,int_vbap,intermediate,sap_vbap,staging,['15 22 * * *'],80100.0,1414.79,81515.0
cn_compensation,cn,cn_compensation,cn,cn_bkpf,cn,,,5.55,
cn_compensation,cn,cn_bkpf,cn,int_bkpf,intermediate,,,6.34,
cn_compensation,cn,int_bkpf,intermediate,sap_bkpf,staging,['0 1 * * *'],3600.0,231.07,3831.0
cn_compensation,cn,cn_compensation,cn,cn_vbak,cn,,,4.11,
cn_compensation,cn,cn_vbak,cn,int_vbak,intermediate,,,41.32,
cn_compensation,cn,int_vbak,intermediate,sap_vbak,staging,['0 2 * * *'],7200.0,659.415,7859.0
cn_compensation,cn,cn_compensation,cn,cn_compensation_global,cn,,,4.305,
cn_compensation,cn,cn_compensation_global,cn,int_compensation_global,intermediate,,,4.62,
cn_compensation,cn,int_compensation_global,intermediate,sp_compensation_global,staging,['0 1 * * *'],3600.0,19.759999999999998,3620.0
cn_compensation_cs,cn,cn_compensation_cs,cn,int_compensation_cs,intermediate,,,4.405,
cn_compensation_cs,cn,int_compensation_cs,intermediate,sp_compensation_cs,staging,['0 1 * * *'],3600.0,13.954999999999998,3614.0
cn_compensation_global,cn,cn_compensation_global,cn,int_compensation_global,intermediate,,,4.62,
cn_compensation_global,cn,int_compensation_global,intermediate,sp_compensation_global,staging,['0 1 * * *'],3600.0,19.759999999999998,3620.0
cn_customer_relation,cn,cn_customer_relation,cn,int_customers,intermediate,,,5.45,
cn_customer_relation,cn,cn_customer_relation,cn,int_knvp,intermediate,,,10.075,
cn_customer_relation,cn,int_knvp,intermediate,sap_knvp,staging,['00 03 * * *'],10800.0,621.33,11421.0
cn_customer_relation,cn,cn_customer_relation,cn,int_knvv,intermediate,,,4.71,
cn_customer_relation,cn,int_knvv,intermediate,sap_knvv,staging,['00 03 * * *'],10800.0,43.02,10843.0
cn_customer_relation,cn,cn_customer_relation,cn,int_kna1,intermediate,,,12.41,
cn_customer_relation,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_customers,cn,cn_customers,cn,int_zsd0_sampleday,intermediate,,,4.34,
cn_customers,cn,int_zsd0_sampleday,intermediate,sap_zsd0_sampleday,staging,['0 1 * * *'],3600.0,9.98,3610.0
cn_customers,cn,cn_customers,cn,cn_areamapping,cn,,,3.85,
cn_customers,cn,cn_areamapping,cn,int_areamapping,intermediate,,,4.390000000000001,
cn_customers,cn,cn_customers,cn,cn_kna1,cn,,,4.56,
cn_customers,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_customers,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_customers,cn,cn_customers,cn,cn_dist_hosp_match,cn,,,3.84,
cn_customers,cn,cn_dist_hosp_match,cn,int_dist_hosp_match,intermediate,,,4.305,
cn_customers,cn,int_dist_hosp_match,intermediate,sp_dist_hosp_match,staging,['0 1 * * *'],3600.0,16.830000000000002,3617.0
cn_customers,cn,cn_customers,cn,cn_salesrep_hosp_match,cn,,,3.9,
cn_customers,cn,cn_salesrep_hosp_match,cn,int_salesrep_hosp_match,intermediate,,,5.35,
cn_customers,cn,int_salesrep_hosp_match,intermediate,sp_salesrep_hosp_match,staging,['0 1 * * *'],3600.0,11.209999999999999,3611.0
cn_customers,cn,cn_customers,cn,cn_knvp,cn,,,3.75,
cn_customers,cn,cn_knvp,cn,int_knvp,intermediate,,,10.075,
cn_customers,cn,int_knvp,intermediate,sap_knvp,staging,['00 03 * * *'],10800.0,621.33,11421.0
cn_customers,cn,cn_customers,cn,cn_t005u,cn,,,3.54,
cn_customers,cn,cn_t005u,cn,int_t005u,intermediate,,,4.96,
cn_customers,cn,cn_customers,cn,int_zsd0_knvv_bu,intermediate,,,5.63,
cn_customers,cn,int_zsd0_knvv_bu,intermediate,sap_zsd0_knvv_bu,staging,['0 1 * * *'],3600.0,16.395000000000003,3616.0
cn_dist_hosp_match,cn,cn_dist_hosp_match,cn,int_dist_hosp_match,intermediate,,,4.305,
cn_dist_hosp_match,cn,int_dist_hosp_match,intermediate,sp_dist_hosp_match,staging,['0 1 * * *'],3600.0,16.830000000000002,3617.0
cn_distributor_stock,cn,cn_distributor_stock,cn,int_materialmaster,intermediate,,,4.805,
cn_distributor_stock,cn,cn_distributor_stock,cn,cn_eumapping,cn,,,4.12,
cn_distributor_stock,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_distributor_stock,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_distributor_stock,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_distributor_stock,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_distributor_stock,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_distributor_stock,cn,cn_distributor_stock,cn,cn_blinemapping,cn,,,3.03,
cn_distributor_stock,cn,cn_blinemapping,cn,int_blinemapping,intermediate,,,4.48,
cn_distributor_stock,cn,int_blinemapping,intermediate,sp_blinemapping,staging,['0 8 * * *'],28800.0,8.34,28808.0
cn_distributor_stock,cn,cn_distributor_stock,cn,cn_cn_insmatch,cn,,,3.99,
cn_distributor_stock,cn,cn_cn_insmatch,cn,int_cn_insmatch,intermediate,,,4.925,
cn_distributor_stock,cn,cn_distributor_stock,cn,cn_kna1,cn,,,4.56,
cn_distributor_stock,cn,cn_distributor_stock,cn,cn_knvp,cn,,,3.75,
cn_distributor_stock,cn,cn_knvp,cn,int_knvp,intermediate,,,10.075,
cn_distributor_stock,cn,int_knvp,intermediate,sap_knvp,staging,['00 03 * * *'],10800.0,621.33,11421.0
cn_distributor_stock,cn,cn_distributor_stock,cn,int_zmm_stkd,intermediate,,,337.9,
cn_distributor_stock,cn,int_zmm_stkd,intermediate,int_tcurr,intermediate,,,5.61,
cn_distributor_stock,cn,int_tcurr,intermediate,sap_tcurr,staging,['0 2 * * *'],7200.0,57.9,7258.0
cn_distributor_stock,cn,int_zmm_stkd,intermediate,int_tcurx,intermediate,,,4.3,
cn_distributor_stock,cn,int_tcurx,intermediate,sap_tcurx,staging,['0 2 * * *'],7200.0,8.59,7209.0
cn_distributor_stock,cn,int_zmm_stkd,intermediate,sap_zmm_stkd24,staging,['30 1 * * *'],5400.0,400.125,5800.0
cn_diststock,cn,cn_diststock,cn,int_diststock_historical,intermediate,,,4.16,
cn_diststock,cn,cn_diststock,cn,cn_eumapping,cn,,,4.12,
cn_diststock,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_diststock,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_diststock,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_diststock,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_diststock,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_diststock,cn,cn_diststock,cn,int_diststock_ytd,intermediate,,,3.92,
cn_diststock,cn,int_diststock_ytd,intermediate,sp_diststock_ytd,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.85,5409.0
cn_diststock_units,cn,cn_diststock_units,cn,int_diststock_units,intermediate,,,4.0,
cn_diststock_units,cn,int_diststock_units,intermediate,sp_diststock_units,staging,"['30 1 * * *', '0 8 * * *']",5400.0,9.344999999999999,5409.0
cn_diststock_units,cn,cn_diststock_units,cn,cn_eumapping,cn,,,4.12,
cn_diststock_units,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_diststock_units,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_diststock_units,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_diststock_units,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_diststock_units,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_eumapping,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_eumapping,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_eumapping,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_eumapping,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_eumapping,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_eus,cn,cn_eus,cn,int_eus_historical,intermediate,,,4.390000000000001,
cn_eus,cn,cn_eus,cn,int_eus_ytd,intermediate,,,4.49,
cn_eus,cn,int_eus_ytd,intermediate,sp_eus_ytd,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.555,5409.0
cn_eus,cn,cn_eus,cn,cn_eumapping,cn,,,4.12,
cn_eus,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_eus,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_eus,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_eus,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_eus,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_eus_hospital,cn,cn_eus_hospital,cn,int_materialmaster,intermediate,,,4.805,
cn_eus_hospital,cn,cn_eus_hospital,cn,cn_eumapping,cn,,,4.12,
cn_eus_hospital,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_eus_hospital,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_eus_hospital,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_eus_hospital,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_eus_hospital,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_eus_hospital,cn,cn_eus_hospital,cn,int_eus_hospital_ytd,intermediate,,,5.11,
cn_eus_hospital,cn,int_eus_hospital_ytd,intermediate,sp_eus_hospital_ytd,staging,"['30 1 * * *', '0 8 * * *']",5400.0,19.03,5419.0
cn_eus_hospital,cn,cn_eus_hospital,cn,cn_kna1,cn,,,4.56,
cn_eus_hospital,cn,cn_eus_hospital,cn,cn_t005u,cn,,,3.54,
cn_eus_hospital,cn,cn_t005u,cn,int_t005u,intermediate,,,4.96,
cn_eus_hospital,cn,cn_eus_hospital,cn,int_eus_hospital_historical,intermediate,,,6.175000000000001,
cn_fcstsales,cn,cn_fcstsales,cn,int_fcstsales,intermediate,,,5.1,
cn_fcstsales,cn,int_fcstsales,intermediate,sp_fcstsales,staging,"['30 1 * * *', '0 8 * * *']",5400.0,9.34,5409.0
cn_gem_tbdunits,cn,cn_gem_tbdunits,cn,int_gem_tbdunits,intermediate,,,4.52,
cn_gemfb,cn,cn_gemfb,cn,int_gemfb,intermediate,,,4.56,
cn_gemfb,cn,int_gemfb,intermediate,sp_gemfb,staging,['0 3 * * *'],10800.0,8.34,10808.0
cn_gemsn_upload,cn,cn_gemsn_upload,cn,int_gemsn_upload,intermediate,,,4.69,
cn_gemunitstatus_historical,cn,cn_gemunitstatus_historical,cn,int_gemunitstatus_historical,intermediate,,,5.11,
cn_installationcheck,cn,cn_installationcheck,cn,cn_installmodelgroup,cn,,,4.8,
cn_installationcheck,cn,cn_installmodelgroup,cn,int_zsd_busli,intermediate,,,4.51,
cn_installationcheck,cn,cn_installmodelgroup,cn,cn_mvke,cn,,,3.88,
cn_installationcheck,cn,cn_mvke,cn,int_mvke,intermediate,,,21.130000000000003,
cn_installationcheck,cn,int_mvke,intermediate,sap_mvke,staging,['00 05 * * *'],18000.0,506.06500000000005,18506.0
cn_installationcheck,cn,cn_installmodelgroup,cn,cn_zsd_inslit,cn,,,4.23,
cn_installationcheck,cn,cn_zsd_inslit,cn,int_zsd_inslit,intermediate,,,10.88,
cn_installationcheck,cn,cn_installmodelgroup,cn,cn_zsd_buslit,cn,,,3.9800000000000004,
cn_installationcheck,cn,cn_zsd_buslit,cn,int_zsd_buslit,intermediate,,,4.0,
cn_installationcheck,cn,cn_installmodelgroup,cn,cn_makt,cn,,,4.82,
cn_installationcheck,cn,cn_makt,cn,int_makt,intermediate,,,26.89,
cn_installationcheck,cn,int_makt,intermediate,sap_makt,staging,['00 05 * * *'],18000.0,43.32,18043.0
cn_installationcheck,cn,cn_installmodelgroup,cn,cn_zsv_model_t,cn,,,4.26,
cn_installationcheck,cn,cn_zsv_model_t,cn,int_zsv_model_t,intermediate,,,4.3,
cn_installationcheck,cn,int_zsv_model_t,intermediate,sap_zsv_model_t,staging,['00 01 * * *'],3600.0,8.77,3609.0
cn_installationcheck,cn,cn_installmodelgroup,cn,int_installmodelgroup,intermediate,,,5.05,
cn_installationcheck,cn,cn_installmodelgroup,cn,int_zsd_busunt,intermediate,,,3.72,
cn_installationcheck,cn,cn_installationcheck,cn,cn_zsvi_zeqsd,cn,,,4.574999999999999,
cn_installationcheck,cn,cn_zsvi_zeqsd,cn,int_zsv_zequz,intermediate,,,171.04,
cn_installationcheck,cn,int_zsv_zequz,intermediate,sap_zsv_zequz,staging,['05 20 * * *'],72300.0,158.8,72459.0
cn_installationcheck,cn,cn_zsvi_zeqsd,cn,int_zsvi_zeqsd,intermediate,,,27.405,
cn_installationcheck,cn,int_zsvi_zeqsd,intermediate,sap_zsvi_zeqsd,staging,['00 06 * * *'],21600.0,13.2,21613.0
cn_installationcheck,cn,cn_installationcheck,cn,cn_kna1,cn,,,4.56,
cn_installationcheck,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_installationcheck,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_installationcheck,cn,cn_installationcheck,cn,cn_cleaningeu,cn,,,4.08,
cn_installationcheck,cn,cn_cleaningeu,cn,int_cleaningeu,intermediate,,,4.51,
cn_installationcheck,cn,cn_installationcheck,cn,int_zsvi_zzsfvalt,intermediate,,,4.49,
cn_installationcheck,cn,int_zsvi_zzsfvalt,intermediate,sap_zsvi_zzsfvalt,staging,['30 1 * * *'],5400.0,9.16,5409.0
cn_installationcheck,cn,cn_installationcheck,cn,cn_zsv_zequz,cn,,,4.82,
cn_installationcheck,cn,cn_zsv_zequz,cn,int_zsv_zequz,intermediate,,,171.04,
cn_installbase,cn,cn_installbase,cn,int_zsv_zequz,intermediate,,,171.04,
cn_installbase,cn,int_zsv_zequz,intermediate,sap_zsv_zequz,staging,['05 20 * * *'],72300.0,158.8,72459.0
cn_installbase,cn,cn_installbase,cn,cn_zsvi_zeqsd,cn,,,4.574999999999999,
cn_installbase,cn,cn_zsvi_zeqsd,cn,int_zsv_zequz,intermediate,,,171.04,
cn_installbase,cn,cn_zsvi_zeqsd,cn,int_zsvi_zeqsd,intermediate,,,27.405,
cn_installbase,cn,int_zsvi_zeqsd,intermediate,sap_zsvi_zeqsd,staging,['00 06 * * *'],21600.0,13.2,21613.0
cn_installbase,cn,cn_installbase,cn,cn_blinemapping,cn,,,3.03,
cn_installbase,cn,cn_blinemapping,cn,int_blinemapping,intermediate,,,4.48,
cn_installbase,cn,int_blinemapping,intermediate,sp_blinemapping,staging,['0 8 * * *'],28800.0,8.34,28808.0
cn_installbase,cn,cn_installbase,cn,cn_eumapping,cn,,,4.12,
cn_installbase,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_installbase,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_installbase,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_installbase,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_installbase,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_installbase,cn,cn_installbase,cn,int_zsv_zequi,intermediate,,,8.184999999999999,
cn_installbase,cn,int_zsv_zequi,intermediate,sap_zsv_zequi,staging,['00 08 * * *'],28800.0,42.19,28842.0
cn_installbase,cn,cn_installbase,cn,cn_cn_insmatch,cn,,,3.99,
cn_installbase,cn,cn_cn_insmatch,cn,int_cn_insmatch,intermediate,,,4.925,
cn_installbase,cn,cn_installbase,cn,cn_kna1,cn,,,4.56,
cn_installbase,cn,cn_installbase,cn,cn_knvp,cn,,,3.75,
cn_installbase,cn,cn_knvp,cn,int_knvp,intermediate,,,10.075,
cn_installbase,cn,int_knvp,intermediate,sap_knvp,staging,['00 03 * * *'],10800.0,621.33,11421.0
cn_installbase,cn,cn_installbase,cn,cn_t005u,cn,,,3.54,
cn_installbase,cn,cn_t005u,cn,int_t005u,intermediate,,,4.96,
cn_installmodelgroup,cn,cn_installmodelgroup,cn,int_zsd_busli,intermediate,,,4.51,
cn_installmodelgroup,cn,cn_installmodelgroup,cn,cn_mvke,cn,,,3.88,
cn_installmodelgroup,cn,cn_mvke,cn,int_mvke,intermediate,,,21.130000000000003,
cn_installmodelgroup,cn,int_mvke,intermediate,sap_mvke,staging,['00 05 * * *'],18000.0,506.06500000000005,18506.0
cn_installmodelgroup,cn,cn_installmodelgroup,cn,cn_zsd_inslit,cn,,,4.23,
cn_installmodelgroup,cn,cn_zsd_inslit,cn,int_zsd_inslit,intermediate,,,10.88,
cn_installmodelgroup,cn,cn_installmodelgroup,cn,cn_zsd_buslit,cn,,,3.9800000000000004,
cn_installmodelgroup,cn,cn_zsd_buslit,cn,int_zsd_buslit,intermediate,,,4.0,
cn_installmodelgroup,cn,cn_installmodelgroup,cn,cn_makt,cn,,,4.82,
cn_installmodelgroup,cn,cn_makt,cn,int_makt,intermediate,,,26.89,
cn_installmodelgroup,cn,int_makt,intermediate,sap_makt,staging,['00 05 * * *'],18000.0,43.32,18043.0
cn_installmodelgroup,cn,cn_installmodelgroup,cn,cn_zsv_model_t,cn,,,4.26,
cn_installmodelgroup,cn,cn_zsv_model_t,cn,int_zsv_model_t,intermediate,,,4.3,
